Date, Open, High, Low, Close, Volume
04/09/24, 638680, 638680, 638680, 638680, 158
04/08/24, 635000, 637700, 635000, 637700, 144
04/05/24, 620000, 642440, 620000, 642440, 197
04/04/24, 647800, 647800, 645000, 645000, 254
04/03/24, 656000, 656000, 650000, 650000, 175
04/02/24, 654980, 656000, 654980, 656000, 625
04/01/24, 658880, 658880, 658880, 658880, 48
03/27/24, 645000, 645000, 645000, 645000, 73
03/26/24, 663000, 663000, 638020, 660000, 137
03/22/24, 670000, 670000, 670000, 670000, 69
03/21/24, 689000, 689000, 670000, 670000, 298
03/20/24, 699000, 699000, 699000, 699000, 97
03/19/24, 670560, 670560, 670560, 670560, 37
03/18/24, 670560, 670560, 670560, 670560, 34
03/15/24, 677080, 677080, 665000, 665000, 105
03/14/24, 678000, 678000, 677740, 677740, 145
03/13/24, 671540, 671540, 671540, 671540, 50
03/12/24, 666780, 666780, 666780, 666780, 37
03/11/24, 666780, 666780, 666780, 666780, 34
03/08/24, 670000, 670000, 670000, 670000, 95
03/07/24, 660980, 669520, 660980, 664300, 263
03/06/24, 675000, 675000, 666000, 666000, 237
03/05/24, 671020, 673300, 671020, 673300, 305
03/04/24, 691000, 698000, 690000, 698000, 316
03/01/24, 718000, 718000, 718000, 718000, 50
02/29/24, 719980, 719980, 719980, 719980, 27
02/28/24, 719980, 719980, 719980, 719980, 31
02/27/24, 710020, 719980, 710020, 719980, 81
02/26/24, 720840, 720840, 720840, 720840, 40
02/23/24, 715020, 715020, 715020, 715020, 15
02/22/24, 715020, 715020, 715020, 715020, 43
02/21/24, 714260, 714260, 714260, 714260, 14
02/20/24, 714260, 714260, 714260, 714260, 13
02/19/24, 714260, 714260, 714260, 714260, 28
02/16/24, 720000, 720000, 720000, 720000, 20
02/15/24, 720000, 720000, 720000, 720000, 27
02/14/24, 720000, 720000, 720000, 720000, 58
02/13/24, 739980, 739980, 739980, 739980, 30
02/12/24, 749880, 749880, 749880, 749880, 50
02/09/24, 744780, 744780, 744780, 744780, 59
